pmProductID,optionData.dataOptionProvidingMethod,optionData.optionDataName.value,optionData.selectionMethod.value,optionData.totalNumOfOptions.value,optionData.minNumOfOptionSelectable.value,optionData.maxNumOfOptionSelectable.value
PA00000096,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000097,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000098,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000099,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000100,"[{'productId': 'NA00006161', 'productName': '0플랜 주말 데이터 무제한', 'extradataAmount': '2GB', 'monthlyPrice': '무료', 'DiscountRate': None}, {'productId': 'NA00006162', 'productName': '0플랜 심야 데이터 무제한', 'extradataAmount': None, 'monthlyPrice': '무료', 'DiscountRate': '100%'}, {'productId': 'NA00006163', 'productName': '0플랜 매일 3시간 무제한', 'extradataAmount': '2GB', 'monthlyPrice': '무료', 'DiscountRate': None}]",0플랜 데이터 옵션,선택 옵션,3,1,1
PA00000101,"[{'productId': 'NA00006161', 'productName': '0플랜 주말 데이터 무제한', 'extradataAmount': '2GB', 'monthlyPrice': '무료', 'DiscountRate': None}, {'productId': 'NA00006162', 'productName': '0플랜 심야 데이터 무제한', 'extradataAmount': None, 'monthlyPrice': '무료', 'DiscountRate': '100%'}, {'productId': 'NA00006163', 'productName': '0플랜 매일 3시간 무제한', 'extradataAmount': '2GB', 'monthlyPrice': '무료', 'DiscountRate': None}]",0플랜 데이터 옵션,선택 옵션,3,1,1
PA00000102,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000103,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000104,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000105,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000106,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000107,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000108,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000109,"[{'productId': 'NA00008263', 'productName': '0 청년 59 데이터 충전 60GB', 'extradataAmount': '60GB', 'monthlyPrice': '7000원', 'DiscountRate': None}, {'productId': 'NA00008264', 'productName': '0 청년 59 데이터 충전 36GB', 'extradataAmount': '36GB', 'monthlyPrice': '5000원', 'DiscountRate': None}, {'productId': 'NA00008265', 'productName': '0 청년 59 데이터 충전 15GB', 'extradataAmount': '15GB', 'monthlyPrice': '3000원', 'DiscountRate': None}, {'productId': 'NA00008262', 'productName': '0 청년 59 데이터 충전 100GB', 'extradataAmount': '100GB', 'monthlyPrice': '9000원', 'DiscountRate': None}]",0청년 59 데이터 옵션,선택 옵션,4,0,1
PA00000228,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000231,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000693,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00002803,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00002804,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00002805,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00002806,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00002807,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00002808,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00002809,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00002810,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00002811,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00002812,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00002813,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00002814,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00002815,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
